predicted_probability,predicted_binary
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.2,0.0
1.0,1.0
0.0,0.0
0.9285714285714286,1.0
1.0,1.0
1.0,1.0
0.9285714285714286,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.041176470588235294,0.0
0.2,0.0
0.1,0.0
0.9285714285714286,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.75,1.0
1.0,1.0
1.0,1.0
0.2,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,0.0
1.0,1.0
0.7666666666666667,1.0
0.0,0.0
0.0,0.0
0.9,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.02857142857142857,0.0
1.0,1.0
0.0,0.0
0.12857142857142856,0.0
0.6,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.2,0.0
0.1,0.0
0.8666666666666668,1.0
1.0,1.0
0.7,1.0
0.016666666666666666,0.0
1.0,1.0
0.9,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.2,0.0
0.0,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.05806451612903226,0.0
1.0,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.05,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.6580645161290323,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.4913978494623656,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.16666666666666666,0.0
0.8,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.03333333333333333,0.0
0.0,0.0
0.1,0.0
0.8,1.0
0.0,0.0
1.0,1.0
0.8,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9875,1.0
1.0,1.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.7,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.9875,1.0
0.0,0.0
0.9875,1.0
0.0,0.0
0.9,1.0
0.175,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.15,0.0
0.39139784946236555,0.0
0.1,0.0
0.6580645161290323,1.0
0.12857142857142856,0.0
1.0,1.0
1.0,1.0
0.8666666666666668,1.0
0.8411764705882353,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1411764705882353,0.0
1.0,1.0
0.15806451612903225,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.2,0.0
