visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,log_entropy,entropy_x_contrast,IR_range,IR_norm_range,class
5.0,107.0,32.6094,0.067,571.7417,0.0318,3.7088,193.0,240.0,225.3438,-3.448288989196006,18.18138606,14.656200000000013,0.075938860103627,0.0
22.3435,113.0659,61.3216,7.8,108.4,0.0611,2.9956,-18.0396,18.9525,-6.3607,-2.7952434128045875,6.623240000000001,25.313200000000002,-1.4032018448302623,1.0
66.6298,78.8838,71.6567,0.45,0.575,0.4847,0.8388,-107.3685,-99.4687,-104.7627,-0.7242251361308067,0.27870249999999996,5.293999999999997,-0.04930682649007853,1.0
8.0,160.0,66.6836,0.0861,814.446,0.0237,3.8993,169.0,246.0,213.7773,-3.7422802308410517,19.3023702,32.2227,0.19066686390532547,0.0
16.324,68.3497,44.8016,1.7542,6.1042,0.206,1.7434,-86.8425,18.2624,-40.5488,-1.579879110192556,1.2574652,58.8112,-0.6772168005296946,1.0
1.0,5.0,1.9805,0.0004,0.1333,0.8192,0.3424,247.0,251.0,249.2461,-0.19942702469689366,0.10919936000000001,1.7538999999999874,0.007100809716599139,0.0
9.2296,70.0695,39.4136,4.5125,39.9375,0.0987,2.562,-94.3734,27.7162,-46.2436,-2.3156703325427013,3.94183125,73.9598,-0.7836932864557173,1.0
6.0,152.0,44.8945,0.0851,840.9542,0.0251,3.8961,179.0,249.0,226.1523,-3.684887432844399,21.10795042,22.847700000000003,0.12764078212290506,0.0
32.4477,89.2029,59.5497,2.9167,15.5417,0.135,2.165,-28.1619,-9.0217,-20.2064,-2.0024805005437076,2.0981295,11.1847,-0.39715715203874735,1.0
6.0,68.0,12.2148,0.0141,35.825,0.1419,2.327,224.0,246.0,241.9492,-1.95263269481614,5.0835675,4.0508000000000095,0.018083928571428615,0.0
8.5846,97.8022,55.0552,6.75,80.2917,0.0711,2.8315,-7.431,34.0016,5.6902,-2.643667942172942,5.7087398700000005,28.311400000000003,-3.8099044543130134,1.0
71.5744,133.7042,103.2238,5.2667,48.8333,0.089,2.6386,-115.9012,-61.3626,-95.2444,-2.419118909249997,4.3461637,33.8818,-0.292333470231542,1.0
3.855,156.0624,31.4416,7.35,155.0917,0.2167,2.4812,-3.7737,41.5571,30.1323,-1.5292413704398238,33.60837139,11.424799999999998,-3.0274796618703124,1.0
3.4251,80.1737,8.2109,1.8125,24.4958,0.529,1.2894,10.269,42.7915,39.401,-0.6367668471238376,12.9582782,3.390499999999996,0.3301684682052776,1.0
11.0,152.0,66.7578,0.1063,1139.9873,0.0205,4.0568,178.0,242.0,212.2383,-3.8873303928377747,23.36973965,29.76169999999999,0.16720056179775275,0.0
2.0,40.0,8.4336,0.0237,77.6583,0.0811,2.791,217.0,250.0,246.1094,-2.5120723178607696,6.29808813,3.8906000000000063,0.017929032258064546,0.0
5.0,169.0,45.2383,0.075,799.4958,0.0332,3.7414,155.0,236.0,211.6172,-3.405205403059694,26.54326056,24.382800000000003,0.15730838709677422,0.0
