predicted_probability,predicted_binary
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.1,0.0
0.0,0.0
0.0,0.0
0.6,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.5333333333333333,1.0
1.0,1.0
1.0,1.0
0.05555555555555556,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.5,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.15238095238095237,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.3,0.0
0.0,0.0
0.8555555555555555,1.0
0.0,0.0
1.0,1.0
0.9555555555555555,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.05555555555555556,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.05555555555555556,0.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.15238095238095237,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.05555555555555556,0.0
0.0,0.0
0.05555555555555556,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.8,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
1.0,1.0
0.13333333333333333,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.1,0.0
0.0,0.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.014285714285714285,0.0
0.0,0.0
0.0,0.0
0.05555555555555556,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.7625,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.3625,0.0
1.0,1.0
0.9555555555555555,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.1,0.0
0.8,1.0
1.0,1.0
0.6,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.3,0.0
0.5,0.0
0.0,0.0
0.4,0.0
