predicted_probability,predicted_binary
0.9,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5323232323232323,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.9833333333333334,1.0
0.0,0.0
0.1,0.0
0.0,0.0
1.0,1.0
0.9,1.0
0.6,1.0
0.15107323232323233,0.0
1.0,1.0
0.03232323232323232,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.23232323232323235,0.0
0.9833333333333334,1.0
0.9,1.0
0.01875,0.0
0.3,0.0
1.0,1.0
0.0,0.0
0.4,0.0
1.0,1.0
0.0,0.0
0.9,1.0
0.03232323232323232,0.0
0.9,1.0
0.0,0.0
0.9833333333333334,1.0
0.0,0.0
0.0,0.0
0.15107323232323233,0.0
1.0,1.0
0.0,0.0
0.9833333333333334,1.0
0.9323232323232323,1.0
0.0,0.0
0.0,0.0
0.16333333333333333,0.0
1.0,1.0
0.0,0.0
0.1,0.0
1.0,1.0
0.2,0.0
0.03232323232323232,0.0
0.0,0.0
1.0,1.0
0.13232323232323234,0.0
0.1,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9833333333333334,1.0
0.9833333333333334,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.08232323232323233,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,0.0
0.03232323232323232,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.08333333333333334,0.0
0.9833333333333334,1.0
0.9833333333333334,1.0
0.0,0.0
0.0,0.0
0.15732323232323234,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.8323232323232324,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.01875,0.0
0.0,0.0
0.9,1.0
0.8,1.0
1.0,1.0
0.9833333333333334,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.1,0.0
0.9,1.0
0.11875,0.0
0.9323232323232323,1.0
0.0,0.0
0.1,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9833333333333334,1.0
0.0,0.0
1.0,1.0
0.7823232323232323,1.0
0.7,1.0
0.18232323232323233,0.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9833333333333334,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.8323232323232324,1.0
0.15732323232323234,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.23232323232323235,0.0
0.9323232323232323,1.0
0.8,1.0
0.1,0.0
0.9833333333333334,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.8,1.0
0.2,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05107323232323233,0.0
0.9833333333333334,1.0
0.0,0.0
0.9323232323232323,1.0
1.0,1.0
0.2,0.0
1.0,1.0
0.0,0.0
0.5,0.0
0.9,1.0
0.9,1.0
0.0,0.0
0.01875,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.8,1.0
1.0,1.0
0.9323232323232323,1.0
1.0,1.0
0.38,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
1.0,1.0
0.71875,1.0
0.0,0.0
0.9833333333333334,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.9,1.0
1.0,1.0
0.9800000000000001,1.0
0.0,0.0
1.0,1.0
0.9323232323232323,1.0
1.0,1.0
0.3,0.0
0.23232323232323235,0.0
0.08333333333333334,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.7323232323232324,1.0
0.03232323232323232,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.18,0.0
0.0,0.0
0.9,1.0
0.0,0.0
0.0,0.0
0.9,1.0
0.9,1.0
1.0,1.0
0.13232323232323234,0.0
1.0,1.0
0.1,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.3,0.0
0.23232323232323235,0.0
0.0,0.0
0.95,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
0.03232323232323232,0.0
0.9833333333333334,1.0
1.0,1.0
0.0,0.0
0.8,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.3,0.0
0.9,1.0
0.9833333333333334,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.9323232323232323,1.0
1.0,1.0
0.1,0.0
1.0,1.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9833333333333334,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.1,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.13232323232323234,0.0
0.0,0.0
0.8,1.0
1.0,1.0
0.13232323232323234,0.0
0.9833333333333334,1.0
0.0,0.0
1.0,1.0
0.2633333333333333,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.9833333333333334,1.0
0.6323232323232324,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.08333333333333334,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.9833333333333334,1.0
1.0,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.03232323232323232,0.0
0.2,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.08333333333333334,0.0
1.0,1.0
0.0,0.0
0.03232323232323232,0.0
1.0,1.0
0.1,0.0
0.9,1.0
0.9,1.0
1.0,1.0
0.2,0.0
0.8833333333333334,1.0
0.8,1.0
0.0,0.0
0.9833333333333334,1.0
0.8323232323232324,1.0
1.0,1.0
0.8,1.0
0.05732323232323233,0.0
0.7,1.0
0.8,1.0
1.0,1.0
0.1,0.0
0.03232323232323232,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.23232323232323235,0.0
1.0,1.0
1.0,1.0
0.9323232323232323,1.0
1.0,1.0
0.8,1.0
0.1,0.0
0.0,0.0
0.9833333333333334,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.9833333333333334,1.0
1.0,1.0
0.9833333333333334,1.0
0.0,0.0
1.0,1.0
0.4,0.0
0.0,0.0
0.0,0.0
0.13232323232323234,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
0.2,0.0
0.9833333333333334,1.0
1.0,1.0
0.0,0.0
0.23232323232323235,0.0
0.0,0.0
0.3,0.0
0.13232323232323234,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.1,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.95,1.0
0.9833333333333334,1.0
0.0,0.0
1.0,1.0
0.13232323232323234,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.13232323232323234,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.08333333333333334,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.8633333333333333,1.0
0.0,0.0
1.0,1.0
